MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DEC  2021,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 023161,27/09/2021,DOPAMET 250MG TAB, 7.00 , 607.14 ," 4,250.00 ", -   ," 4,250.00 ", 195.00 ," 1,365.00 "," 2,885.00 ",68%
Admin,DR 023161,27/09/2021,HEMOSTAP 500mg, 2.00 ," 2,100.00 "," 4,200.00 "," 1,260.00 "," 2,940.00 ", 420.00 , 840.00 ," 2,100.00 ",50%
Admin,DR 023161,27/09/2021,LACTAMOX 500MG/125MG TAB, 2.00 ," 2,800.00 "," 5,600.00 "," 1,680.00 "," 3,920.00 "," 1,047.86 "," 2,095.72 "," 1,824.28 ",33%
Admin,DR 023162,27/09/2021,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 15.00 , 655.00 ," 9,825.00 ", -   ," 9,825.00 ", 400.00 ," 6,000.00 "," 3,825.00 ",39%
Admin,DR 023162,27/09/2021,FOLACID 5MG, 7.00 , 464.29 ," 3,250.00 ", -   ," 3,250.00 ", 196.88 ," 1,378.16 "," 1,871.84 ",58%
Admin,DR 023162,27/09/2021,ANEROCIN 300MG, 2.00 ," 3,800.00 "," 7,600.00 "," 2,280.00 "," 5,320.00 ", 979.00 ," 1,958.00 "," 3,362.00 ",44%
Admin,DR MS 00982,22/09/2021,IVERMECTIN15MG DR ZENS, 10.00 ," 3,000.00 "," 30,000.00 ", -   ," 30,000.00 "," 2,700.00 "," 27,000.00 "," 3,000.00 ",10%
Admin,DR 023160,20/09/2021,DIGITAL THERMOMETER - ADVAN, 20.00 , 80.00 ," 1,600.00 ", -   ," 1,600.00 ", 58.00 ," 1,160.00 ", 440.00 ,28%
Admin,DR 023160,20/09/2021,STOOL CUP 40ml, 20.00 , 6.00 , 120.00 , -   , 120.00 , 5.00 , 100.00 , 20.00 ,17%
Admin,DR 023160,20/09/2021,PREGNANCY TEST - PARTNERS, 0.05 ," 2,000.00 ", 100.00 , -   , 100.00 ," 1,040.00 ", 52.00 , 48.00 ,48%
Admin,DR 023160,20/09/2021,GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM), 2.00 , 300.00 , 600.00 , -   , 600.00 , 255.00 , 510.00 , 90.00 ,15%
Admin,DR 023156,13/09/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023156,13/09/2021,HYCLENS WOUND SPRAY (60ML), 72.00 , 229.32 ," 16,511.04 ", -   ," 16,511.04 ", 114.66 ," 8,255.52 "," 8,255.52 ",50%
Admin,DR 023157,13/09/2021,HYCLENS GARGLE (60ML), 12.00 , 60.00 , 720.00 , -   , 720.00 , 65.00 , 780.00 , (60.00),-8%
Admin,DR 023157,13/09/2021,HYCLENS GARGLE (120ML), 12.00 , 100.00 ," 1,200.00 ", -   ," 1,200.00 ", 88.00 ," 1,056.00 ", 144.00 ,12%
Admin,DR 023157,13/09/2021,MULTI GROW 120ML, 1.00 , 96.00 , 96.00 , -   , 96.00 , 90.00 , 90.00 , 6.00 ,6%
Admin,DR 023158,13/09/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023158,13/09/2021,ZELEX 200MG, 7.00 ," 2,000.00 "," 14,000.00 ", -   ," 14,000.00 ", 750.00 ," 5,250.00 "," 8,750.00 ",63%
Admin,DR 023158,13/09/2021,NITROFURANTOIN 100MG, 2.00 , 714.29 ," 1,428.58 ", 428.57 ," 1,000.01 ", 10.12 , 20.24 , 979.77 ,69%
Admin,DR 023158,13/09/2021,GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM), 3.00 , 450.00 ," 1,350.00 ", -   ," 1,350.00 ", 255.00 , 765.00 , 585.00 ,43%
Admin,DR 023154,06/09/2021,ENOCEE 500mg, 14.00 , 214.29 ," 3,000.00 ", -   ," 3,000.00 ", 48.00 , 672.00 ," 2,328.00 ",78%
Admin,DR 023154,06/09/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
Admin,DR 023154,06/09/2021,BENERVA PLUS TAB, 2.00 ," 1,708.00 "," 3,416.00 "," 1,024.80 "," 2,391.20 ", 550.00 ," 1,100.00 "," 1,291.20 ",38%
Admin,DR 023154,06/09/2021,FLAGEX 500MG, 2.00 , 680.00 ," 1,360.00 ", 408.00 , 952.00 , 98.00 , 196.00 , 756.00 ,56%
Admin,DR 023154,06/09/2021,LACTAMOX 500MG/125MG TAB, 3.00 ," 2,800.00 "," 8,400.00 "," 2,520.00 "," 5,880.00 "," 1,047.86 "," 3,143.58 "," 2,736.42 ",33%
Admin,DR 023154,06/09/2021,ERGON 125MCG, 3.00 ," 1,000.00 "," 3,000.00 ", 900.00 ," 2,100.00 ", 133.33 , 399.99 ," 1,700.01 ",57%
Admin,DR 023154,06/09/2021,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 10.00 , 655.00 ," 6,550.00 ", -   ," 6,550.00 ", 400.00 ," 4,000.00 "," 2,550.00 ",39%
Admin,DR 023155,06/09/2021,EVENING PRIMEROSE OIL 1000mg, 7.00 ," 1,000.00 "," 7,000.00 ", -   ," 7,000.00 ", 357.00 ," 2,499.00 "," 4,501.00 ",64%
Admin,DR MS 00923,06/09/2021,RAPID-C PLUS, 25.00 , 400.00 ," 10,000.00 ", -   ," 10,000.00 ", 170.00 ," 4,250.00 "," 5,750.00 ",58%
Admin,DR 023153,06/09/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023153,06/09/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023153,06/09/2021,FERGLOBIN 250MG, 14.00 , 517.86 ," 7,250.00 ", -   ," 7,250.00 ", 325.00 ," 4,550.00 "," 2,700.00 ",37%
Admin,DR MS 00925,01/09/2021,FACE SHIELD, 50.00 , 10.00 , 500.00 , -   , 500.00 , 8.00 , 400.00 , 100.00 ,20%
Admin,DR 023152,31/08/2021,ENCLOXIL 500MG, 7.00 ," 1,071.43 "," 7,500.00 ", -   ," 7,500.00 ", 780.00 ," 5,460.00 "," 2,040.00 ",27%
Admin,DR 023152,31/08/2021,ENOCEE 500mg, 14.00 , 214.29 ," 3,000.00 ", -   ," 3,000.00 ", 48.00 , 672.00 ," 2,328.00 ",78%
Admin,DR 023152,31/08/2021,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 10.00 , 655.00 ," 6,550.00 ", -   ," 6,550.00 ", 400.00 ," 4,000.00 "," 2,550.00 ",39%
Admin,DR 023151,31/08/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023151,31/08/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023151,31/08/2021,FOLACID 5MG, 7.00 , 517.86 ," 3,625.00 ", -   ," 3,625.00 ", 196.88 ," 1,378.16 "," 2,246.84 ",62%
Admin,DR 023151,31/08/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
Admin,DR MS 00890,23/08/2021,IVERMECTIN15MG DR ZENS, 1.00 ," 2,700.00 "," 2,700.00 ", -   ," 2,700.00 "," 2,700.00 "," 2,700.00 ", -   ,0%
Admin,DR 024250,16/08/2021,ATORSAPH 20MG TAB, 3.00 , 150.00 , 450.00 , -   , 450.00 , 28.00 , 84.00 , 366.00 ,81%
Admin,DR 024250,16/08/2021,HYCLENS WOUND CARE SOLUTION 60ML, 6.00 , 75.00 , 450.00 , -   , 450.00 , 72.45 , 434.70 , 15.30 ,3%
Admin,DR 024250,16/08/2021,"MICROPORE 1"" - 1530-1 - 3M", 2.00 , 570.00 ," 1,140.00 ", -   ," 1,140.00 ", 380.00 , 760.00 , 380.00 ,33%
Admin,DR 024246,16/08/2021,ENOCEE 500mg, 14.00 , 214.29 ," 3,000.00 ", -   ," 3,000.00 ", 48.00 , 672.00 ," 2,328.00 ",78%
Admin,DR 024248,16/08/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
