MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2024,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 024777,21/03/2024,HYCLENS WOUND SPRAY (60ML), 20.00 , 229.32 ," 4,586.40 ", -   ," 4,586.40 ", 114.66 ," 2,293.20 "," 2,293.20 ",50%
Admin,DR 24901,02/04/2024,APCELAC 500MG, 7.00 , 655.00 ," 4,585.00 ", -   ," 4,585.00 ", 400.00 ," 2,800.00 "," 1,785.00 ",39%
Admin,DR 24901,02/04/2024,TRANEXSAPH 500MG, 3.00 ," 1,500.00 "," 4,500.00 ", -   ," 4,500.00 ", 365.00 ," 1,095.00 "," 3,405.00 ",76%
Admin,DR 24901,02/04/2024,GLOVES MEDIUM NITRILE NONSTERILE (DR.GREG), 3.00 , 450.00 ," 1,350.00 ", -   ," 1,350.00 ", 200.00 , 600.00 , 750.00 ,56%
Admin,DR 24901,02/04/2024,DOPAMET 250MG, 7.00 , 780.00 ," 5,460.00 ", -   ," 5,460.00 ", 195.00 ," 1,365.00 "," 4,095.00 ",75%
Admin,DR 024778,08/04/2024,ENCLOXIL 500MG, 7.00 ," 1,392.86 "," 9,750.02 ", -   ," 9,750.02 ", 780.00 ," 5,460.00 "," 4,290.02 ",44%
Admin,DR 024778,08/04/2024,SOLVAPRINE 10MG, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
Admin,DR 024778,08/04/2024,CIXTOR-Z 500mg, 7.00 , 630.00 ," 4,410.00 ", -   ," 4,410.00 ", 210.00 ," 1,470.00 "," 2,940.00 ",67%
Admin,DR 024779,16/04/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024779,16/04/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024779,16/04/2024,FOLACID 5MG, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 236.25 ," 1,653.75 "," 1,596.28 ",49%
Admin,DR 024779,16/04/2024,SOLVAPRINE 10MG, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
Admin,DR 024148,23/04/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024148,23/04/2024,FERGLOBIN FA 60MG/400MCG CAP, 7.00 , 642.86 ," 4,500.02 ", -   ," 4,500.02 ", 325.00 ," 2,275.00 "," 2,225.02 ",49%
Admin,DR 024148,23/04/2024,ERGON 125MCG TAB, 5.00 ," 2,000.00 "," 10,000.00 ", -   ," 10,000.00 ", 170.00 , 850.00 ," 9,150.00 ",92%
Admin,DR 024148,23/04/2024,SOLVAPRINE 10MG TAB, 14.00 , 671.43 ," 9,400.02 ", -   ," 9,400.02 ", 150.00 ," 2,100.00 "," 7,300.02 ",78%
Admin,DR 024148,23/04/2024,HAEMOREX 500MG CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 430.00 , 860.00 ," 2,140.00 ",71%
Admin,DR 024148,23/04/2024,MUCOLIFAR 500MG, 2.00 ," 3,500.00 "," 7,000.00 ", -   ," 7,000.00 "," 1,100.00 "," 2,200.00 "," 4,800.00 ",69%
Admin,DR 024148,23/04/2024,HYCLENS WOUND SPRAY (60ML), 20.00 , 229.32 ," 4,586.40 ", -   ," 4,586.40 ", 114.66 ," 2,293.20 "," 2,293.20 ",50%
Admin,DR 24903,29/04/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 24903,29/04/2024,SANOMAX-FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 24903,29/04/2024,APCELAC 500MG, 7.00 , 655.00 ," 4,585.00 ", -   ," 4,585.00 ", 400.00 ," 2,800.00 "," 1,785.00 ",39%
Admin,DR 024782,06/05/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024782,06/05/2024,APCELAC 500MG, 7.00 , 655.00 ," 4,585.00 ", -   ," 4,585.00 ", 400.00 ," 2,800.00 "," 1,785.00 ",39%
Admin,DR 024782,06/05/2024,COMOX 625MG, 1.00 ," 2,800.00 "," 2,800.00 ", -   ," 2,800.00 "," 1,047.80 "," 1,047.80 "," 1,752.20 ",63%
Admin,DR 024782,06/05/2024,LACTAMOX 500MG/125MG TAB, 2.00 ," 2,800.00 "," 5,600.00 ", -   ," 5,600.00 "," 1,173.60 "," 2,347.20 "," 3,252.80 ",58%
Admin,DR 024782,06/05/2024,BENERVA PLUS 500MG/50MG/100MG/100MCG, 3.00 ," 1,708.00 "," 5,124.00 ", -   ," 5,124.00 ", 615.00 ," 1,845.00 "," 3,279.00 ",64%
Admin,DR 024782,06/05/2024,GLOVES MEDIUM NITRILE NONSTERILE (SURGITECH), 3.00 , 450.00 ," 1,350.00 ", -   ," 1,350.00 ", 200.00 , 600.00 , 750.00 ,56%
Admin,DR 024782,06/05/2024,SOLVAPRINE 10MG TAB, 14.00 , 671.43 ," 9,400.02 ", -   ," 9,400.02 ", 150.00 ," 2,100.00 "," 7,300.02 ",78%
Admin,DR 024782,06/05/2024,ANEROCIN 300MG, 2.00 ," 3,800.00 "," 7,600.00 ", -   ," 7,600.00 ", 979.00 ," 1,958.00 "," 5,642.00 ",74%
Admin,DR 24906,10/05/2024,CIUMADE TAB, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 24906,10/05/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 24906,10/05/2024,HAEMOREX 500MG CAP, 3.00 ," 1,500.00 "," 4,500.00 ", -   ," 4,500.00 ", 430.00 ," 1,290.00 "," 3,210.00 ",71%
Admin,DR 24906,10/05/2024,FOLACID 5MG CAP, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 236.25 ," 1,653.75 "," 1,596.28 ",49%
Admin,DR 24906,10/05/2024,SOLVAPRINE 10MG TAB, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
