territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Camarines Norte,2019-02,2018-02,181.6,0.0,270991.43,,,,,,,False
Camarines Sur,2019-02,2018-02,420.12,0.0,263140.02,,,,,,,False
Cavite,2019-02,2018-02,939.24,0.0,120816.91,,,,,,,False
Laguna,2019-02,2018-02,588.2,0.0,356308.73,,,,,,,False
Marinduque,2019-02,2018-02,138.0,0.0,30482.14,,,,,,,False
Quezon,2019-02,2018-02,739.0,0.0,174145.79,,,,,,,False
Albay,2019-03,2018-03,64.0,0.0,5268.29,29.0,0.0,0.0,35.0,1.206897,,False
Batangas,2019-03,2018-03,1121.3,0.0,533214.14,1405.5,0.0,0.0,-284.2,-0.202206,,False
Camarines Norte,2019-03,2018-03,62.0,0.0,14010.68,122.2,0.0,0.0,-60.2,-0.492635,,False
Camarines Sur,2019-03,2018-03,577.0,0.0,402433.71,92.0,0.0,0.0,485.0,5.271739,,False
Cavite,2019-03,2018-03,589.0,0.0,130805.97,274.0,0.0,0.0,315.0,1.149635,,False
Laguna,2019-03,2018-03,1126.28,0.0,741670.08,1066.8,0.0,0.0,59.48,0.055756,,False
Marinduque,2019-03,2018-03,651.0,0.0,128146.95,439.0,0.0,0.0,212.0,0.482916,,False
Quezon,2019-03,2018-03,342.0,0.0,137699.85,326.0,0.0,0.0,16.0,0.04908,,False
Albay,2019-04,2018-04,529.86,0.0,215896.9,223.0,0.0,0.0,306.86,1.376054,,False
Batangas,2019-04,2018-04,637.46,0.0,277593.62,270.0,0.0,0.0,367.46,1.360963,,False
Camarines Norte,2019-04,2018-04,348.6,0.0,287240.61,156.78,0.0,0.0,191.82,1.223498,,False
Camarines Sur,2019-04,2018-04,360.0,0.0,273731.07,385.52,0.0,0.0,-25.52,-0.066196,,False
Cavite,2019-04,2018-04,725.0,0.0,158714.4,260.0,0.0,0.0,465.0,1.788462,,False
Laguna,2019-04,2018-04,2009.3,0.0,860968.2,1485.3,0.0,0.0,524.0,0.352791,,False
Marinduque,2019-04,2018-04,237.12,0.0,63853.27,300.11,0.0,0.0,-62.99,-0.20989,,False
Mindoro,2019-04,2018-04,125.0,0.0,6367.35,,,,,,,False
Quezon,2019-04,2018-04,745.2,0.0,205452.8,898.87,0.0,0.0,-153.67,-0.170959,,False
Albay,2019-05,2018-05,13.0,0.0,5503.29,70.0,0.0,0.0,-57.0,-0.814286,,False
Batangas,2019-05,2018-05,259.0,0.0,165674.13,299.0,0.0,0.0,-40.0,-0.133779,,False
Camarines Norte,2019-05,2018-05,332.7,0.0,145127.25,142.8,0.0,0.0,189.9,1.329832,,False
Camarines Sur,2019-05,2018-05,290.0,0.0,220691.02,394.98,0.0,0.0,-104.98,-0.265786,,False
Cavite,2019-05,2018-05,601.0,0.0,167908.38,354.0,0.0,0.0,247.0,0.69774,,False
Laguna,2019-05,2018-05,2191.13,0.0,890327.22,2456.0,0.0,0.0,-264.87,-0.107846,,False
Marinduque,2019-05,2018-05,77.0,0.0,30429.05,300.0,0.0,0.0,-223.0,-0.743333,,False
Mindoro,2019-05,2018-05,269.0,0.0,18180.0,,,,,,,False
Quezon,2019-05,2018-05,792.0,0.0,337777.13,578.0,0.0,0.0,214.0,0.370242,,False
Albay,2019-06,2018-06,162.0,0.0,63634.2,18.0,0.0,0.0,144.0,8.0,,False
Batangas,2019-06,2018-06,1355.0,0.0,379012.08,1067.0,0.0,0.0,288.0,0.269916,,False
Camarines Norte,2019-06,2018-06,198.8,0.0,226295.64,143.4,0.0,0.0,55.4,0.386332,,False
Camarines Sur,2019-06,2018-06,123.0,0.0,27927.71,482.0,0.0,0.0,-359.0,-0.744813,,False
Cavite,2019-06,2018-06,577.1,0.0,149242.59,209.0,0.0,0.0,368.1,1.761244,,False
Laguna,2019-06,2018-06,1298.6,0.0,429114.68,434.0,0.0,0.0,864.6,1.992166,,False
Marinduque,2019-06,2018-06,266.0,0.0,78676.68,350.0,0.0,0.0,-84.0,-0.24,,False
Mindoro,2019-06,2018-06,220.0,0.0,3283.6,,,,,,,False
Quezon,2019-06,2018-06,395.0,0.0,120713.26,354.0,0.0,0.0,41.0,0.115819,,False
Albay,2019-07,2018-07,20.0,0.0,1164.2,40.0,0.0,0.0,-20.0,-0.5,,False
Batangas,2019-07,2018-07,585.92,0.0,395387.06,523.0,0.0,0.0,62.92,0.120306,,False
Camarines Norte,2019-07,2018-07,303.7,0.0,138059.43,158.1,0.0,0.0,145.6,0.920936,,False
Camarines Sur,2019-07,2018-07,214.0,0.0,44889.3,429.0,0.0,0.0,-215.0,-0.501166,,False
Cavite,2019-07,2018-07,642.0,0.0,148430.79,131.0,0.0,0.0,511.0,3.900763,,False
