canonical_sku,region,period,quantity,source_rows,observation_status,in_evaluation_window
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-02,18.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-03,17.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-04,13.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-05,20.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-06,21.0,7,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-07,22.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-08,27.0,8,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-09,14.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-10,26.0,7,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-11,20.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-12,22.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-01,16.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-02,15.0,3,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-03,10.0,3,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-04,12.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-05,21.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-06,32.0,9,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-07,43.0,11,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-08,26.0,10,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-09,12.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-10,26.0,8,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-11,16.0,7,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2023-12,8.0,2,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-01,12.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-02,25.0,8,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-03,9.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-04,16.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-05,33.0,9,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-06,17.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-07,23.0,7,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-08,17.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-09,21.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-10,13.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-11,20.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2024-12,26.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2025-01,16.0,3,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2025-02,19.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2025-03,20.0,6,observed,True
