MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,
15582,2018-04-28,Cavite,TOSYLAM 750mg TAB,3,2750,8250,0,8250,1265,3795,4455,
15583,2018-04-25,Cavite,DRILOZOLE 200mg/40mg/5ml,20,90,1800,0,1800,26,520,1280,
15584,2018-05-04,Cavite,ZEGECEF 250mg/5ml SUS,20,400,8000,0,8000,139.45,2789,5211,
15584,2018-05-04,Cavite,LACTAMOX 500mg/125mg TAB,4,2750,11000,0,11000,1173.2,4692.8,6307.2,
15585,2018-05-04,Cavite,LACTAMOX 500mg/125mg TAB,4,2750,11000,0,11000,1173.2,4692.8,6307.2,
15587,2018-05-04,Cavite,DOLO JAGA 500mg/50mg/100mg/100mcg,5,1663,8315,2494.5,5820.5,615,3075,2745.5,
15587,2018-05-04,Cavite,JAGAPLEX TAB,5,1100,5500,1650,3850,263.3333333333333,1316.6666666666665,2533.3333333333335,
15588,2018-05-19,Cavite,Hyclens 0.2% Wound Spray 1L,1,1228.5,1228.5,0,1228.5,,,1228.5,
15589,2018-05-10,Cavite,ZINACARE 750mg with Diluent,30,150,4500,1350,3150,22,660,2490,
15590,2018-05-17,Cavite,C-ZETT 600mg,3,640,1920,0,1920,,,1920,
15590,2018-05-17,Cavite,BRODIX Plus,1,1000,1000,0,1000,,,1000,
15590,2018-05-17,Cavite,ANEROCIN 300mg,1,3800,3800,0,3800,890,890,2910,
15590,2018-05-17,Cavite,ANTIZOAL 5mg/ml,20,120,2400,0,2400,14.966666666666667,299.3333333333333,2100.6666666666665,
15591,2018-05-17,Cavite,Hyclens 0.2% Wound Spray 1L,1,1228.5,1228.5,0,1228.5,,,1228.5,
15592,2018-05-18,Cavite,OMCARE 40mg,2,1580,3160,0,3160,391.3,782.6,2377.4,
15593,2018-05-23,Cavite,HISTARIL 1mg/50mg/5ml SYR,72,80,5760,1728,4032,24.47,1761.84,2270.16,
15593,2018-05-23,Cavite,BUFENOL 200mg/5ml,30,112,3360,1008,2352,,,2352,
15595,2018-05-23,Cavite,ANTIZOAL 5mg/ml,30,120,3600,0,3600,14.966666666666667,449,3151,
15596,2018-05-25,Cavite,RENOKET 600mg,10,4800,48000,0,48000,3046,30460,17540,
15597,2018-05-25,Cavite,Hyclens 0.2% Wound Spray 1L,1,1228.5,1228.5,0,1228.5,,,1228.5,
15598,2018-05-31,Cavite,LACTAMOX 250mg/62.5mg/5ml,30,190,5700,0,5700,129.7,3890.9999999999995,1809.0000000000005,
15599,2018-05-31,Cavite,TOSYLAM 750mg TAB,10,2750,27500,0,27500,1265,12650,14850,
15599,2018-05-31,Cavite,ZEGECEF 250mg/5ml SUS,72,400,28800,0,28800,139.45,10040.4,18759.6,
15600,2018-06-05,Cavite,VITASTRONG SOFTGEL,5,2000,10000,0,10000,890,4450,5550,
15600,2018-06-05,Cavite,RANITEIN,1,2100,2100,0,2100,88,88,2012,
15600,2018-06-05,Cavite,AGLOTAC 25mg/ml (50mg/2ml),1,800,800,0,800,17.9425,17.9425,782.0575,
15600,2018-06-05,Cavite,CIFROX 500mg,1,1500,1500,0,1500,,,1500,
15769,2018-03-01,Cam Norte,CEFEXIL 500mg,3,1200,3600,0,3600,,,3600,
15769,2018-03-01,Cam Norte,METMIC 500mg,3,500,1500,0,1500,227.5,682.5,817.5,
15770,2018-03-01,Cam Norte,FLUIFORT-M 250mg/5ml,5,99,495,0,495,35,175,320,
15770,2018-03-01,Cam Norte,BROADMETZ 125mg/5ml,6,79,474,0,474,36,216,258,
15770,2018-03-01,Cam Norte,HISTARIL 1mg/50mg/5ml SYR,6,88,528,0,528,24.47,146.82,381.18,
15770,2018-03-01,Cam Norte,ENCLOXIL 500mg,1,1800,1800,0,1800,,,1800,
15770,2018-03-01,Cam Norte,APROCARE 150mg,1,870,870,0,870,219,219,651,
15770,2018-03-01,Cam Norte,HISTARIL 2mg/100mg CAP,1,800,800,0,800,225,225,575,
15770,2018-03-01,Cam Norte,BROADMETZ 500mg,1,1070,1070,0,1070,319,319,751,
15770,2018-03-01,Cam Norte,ARTAL-H 50mg/12.5mg,1,595,595,0,595,94,94,501,
15770,2018-03-01,Cam Norte,JAGAPLEX TAB,1,1185,1185,0,1185,263.3333333333333,263.3333333333333,921.6666666666667,
15770,2018-03-01,Cam Norte,ALGICAP 50mg/5ml SUS,6,80,480,0,480,24.61,147.66,332.34000000000003,
15770,2018-03-01,Cam Norte,TERMAGEN 500mg,1,200,200,0,200,104.58,104.58,95.42,
15771,2018-03-01,Cam Norte,METMIC 500mg,2,750,1500,0,1500,227.5,455,1045,
