MEDSHIELD PHARMA CORP,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,
AS OF DECEMBER 2020,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,ATOVAS 20MG,1,207.97,207.97,0,207.97,183.46,183.46,24.50999999999999
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,CLOVAS 75MG,1,705.6,705.6,0,705.6,403.2,403.2,302.40000000000003
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,CLOVAS 75MG,1,705.6,705.6,0,705.6,403.2,403.2,302.40000000000003
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,CLOVAS 75MG,1,705.6,705.6,0,705.6,403.2,403.2,302.40000000000003
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,FACE MASK EARLOOP,10,1250,12500,0,12500,45,450,12050
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,HAV C 500MG,10,323.75,3237.5,0,3237.5,122.5,1225,2012.5
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,INSULIN SYRINGE - TERUMO,1,937.5,937.5,0,937.5,750,750,187.5
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,Isopropyl Alcohol 70% NO LABEL,10,150,1500,0,1500,120,1200,300
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,JAGA 300MG/100MG/100MCG,1,927.5,927.5,0,927.5,530,530,397.5
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,SHELOGEL ANTACID 200mg,1,463.75,463.75,0,463.75,265,265,198.75
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,XYNETRIX CHEWABLE TABLET,1,787.5,787.5,0,787.5,410.42,410.42,377.08
Admin,OS 20-9-40 JV268,2020-10-28,ANGEL-50 50MG,1,241.5,241.5,0,241.5,117.2,117.2,124.3
Admin,OS 20-9-40 JV268,2020-10-28,DOLO JAGA 500MG/50MG/100MG/100MCG,1,1076.25,1076.25,0,1076.25,615,615,461.25
Admin,OS 20-8-42 20-8-15 JV268,2020-10-28,GIAN ZINC 120ML SYR,1,148.75,148.75,0,148.75,80.83,80.83,67.92
Admin,OS 20-8-42 20-8-15 JV268,2020-10-28,HAV C 500MG,10,59,590,0,590,122.5,1225,-635
Admin,OS 20-25 JV268,2020-10-28,ANGEL-50 50MG,-1,276,-276,0,-276,117.2,-117.2,-158.8
Admin,OS 20-25 JV268,2020-10-28,JAGA 300MG/100MG/100MCG,-1,1060,-1060,0,-1060,530,-530,-530
Admin,OS 20-25 JV268,2020-10-28,KARVIDOL 25mg,-1,900,-900,0,-900,,,-900
Admin,OS 20-25 JV268,2020-10-28,MECID 500MG,-1,170,-170,0,-170,77,-77,-93
Admin,OS 20-25 JV268,2020-10-28,SAPHORMIN 500MG,-1,110,-110,0,-110,53.43,-53.43,-56.57
Admin,OS 20-7-63 JV268,2020-10-28,MAXXIVIT PLUS,1,980,980,0,980,517.33,517.33,462.66999999999996
Admin,OS 20-7-63 JV268,2020-10-28,SOLVAPRINE 10MG,1,256.9,256.9,0,256.9,146.8,146.8,110.09999999999997
Admin,OS 20-7-63 JV268,2020-10-28,XYNETRIX CHEWABLE TABLET,1,787.5,787.5,0,787.5,410.42,410.42,377.08
Admin,22410,2020-10-26,ANEROCIN 300MG,3,3800,11400,3420,7980,919.67,2759,5221
Admin,22411,2020-10-26,MULTI GROW OB PLUS,7,803.57,5625,0,5625,487.5,3412.5,2212.5
Admin,22411,2020-10-26,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22412,2020-10-26,FACE MASK NONE WOVE EARLOOP OF 3 PLY BLUE -SURGITECH,5,180,900,0,900,45,225,675
Admin,22392,2020-10-26,GLOVEDOL 6.25MG,50,497,24850,0,24850,83.5,4175,20675
Admin,22409,2020-10-23,GIAN ZINC 120ML SYR,36,102,3672,0,3672,80.83,2910,762
Admin,22409,2020-10-23,OMEBLOC 20mg,2,168,336,0,336,74.5,149,187
Admin,22409,2020-10-23,CINNABLOC 25MG,2,159.6,319.2,0,319.2,133,266,53.19999999999999
Admin,22409,2020-10-23,GLOVEDOL 6.25MG,2,228,456,0,456,83.5,167,289
Admin,22409,2020-10-23,"MICROPORE 1"" - 3M",2,570,1140,0,1140,380,760,380
Admin,22408,2020-10-20,SOLVAPRINE 10MG,14,671.43,9400,0,9400,146.8,2055.2,7344.8
Admin,22408,2020-10-20,EVEROSE 1000MG CAP,7,691.07,4837.5,0,4837.5,381,2667,2170.5
Admin,22408,2020-10-20,FERGLOBIN FA 60MG/400MCG,7,642.86,4500,0,4500,273.89,1917.22,2582.7799999999997
Admin,22408,2020-10-20,FERGLOBIN 250MG,7,517.86,3625,0,3625,257.5,1802.5,1822.5
Admin,22408,2020-10-20,ENERGEL SOFTGEL,7,3188.57,22320,0,22320,565.13,3955.91,18364.09
Admin,22408,2020-10-20,FOLACID 5MG,7,464.29,3250,0,3250,196.88,1378.16,1871.84
Admin,22408,2020-10-20,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22408,2020-10-20,DOPAMET 250MG TAB,7,607.14,4250,0,4250,196.63,1376.38,2873.62
Admin,22407,2020-10-12,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22407,2020-10-12,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22407,2020-10-12,ZELEX 200MG,7,2000,14000,0,14000,750,5250,8750
Admin,22406,2020-10-02,CEFUSAPH,28,471.43,13200,0,13200,156.92,4393.67,8806.33
Admin,22406,2020-10-02,NITROFURANTOIN 100MG,7,714.29,5000,0,5000,10.12,70.84,4929.16
Admin,22406,2020-10-02,AFENAX 100MG,14,1357.14,19000,0,19000,595,8330,10670
Admin,22406,2020-10-02,FERGLOBIN FA 60MG/400MCG,7,642.86,4500,0,4500,273.89,1917.22,2582.7799999999997
Admin,22406,2020-10-02,CORSTAPH 500MG,7,1071.43,7500,0,7500,435,3045,4455
Admin,22405,2020-10-02,HYCLENS 0.12% GARGLE 60ML,12,75.75,909,0,909,65,780,129
Admin,22404,2020-09-28,SOLVAPRINE 10MG,7,671.43,4700,0,4700,146.8,1027.6,3672.4
Admin,22404,2020-09-28,MAXXIVIT PLUS,7,464.29,3250,0,3250,517.33,3621.33,-371.3299999999999
Admin,22404,2020-09-28,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22401,2020-09-18,VONWELT TRANEXAMIC ACID,1,2100,2100,630,1470,320,320,1150
Admin,22401,2020-09-18,SURITRAM,1,1980,1980,594,1386,135,135,1251
Admin,22402,2020-09-18,"MICROPORE 1"" - 3M",1,1080,1080,0,1080,380,380,700
Admin,21900,2020-09-18,SOLVAPRINE 10MG,7,671.43,4700,0,4700,146.8,1027.6,3672.4
Admin,21900,2020-09-18,FOLACID 5MG,7,464.29,3250,0,3250,196.88,1378.16,1871.84
Admin,21900,2020-09-18,ERGON 125MCG,7,714.29,5000,0,5000,138.04,966.29,4033.71
Admin,21900,2020-09-18,FERGLOBIN 250MG,7,517.86,3625,0,3625,257.5,1802.5,1822.5
Admin,21900,2020-09-18,APCEE 500MG,14,525,7350,0,7350,245,3430,3920
Admin,21900,2020-09-18,MALUNGGAY CAPSULE,50,655,32750,0,32750,455,22750,10000
Admin,21900,2020-09-18,GLOVES (M) - INDOPLAS,10,450,4500,0,4500,360,3600,900
Admin,22401,2020-09-18,NITROFURANTOIN 100MG,0.38,1000,380,114,266,10.12,3.85,262.15
