MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,,QTY,TP,TOTAL,NET INCOME
,,,,,,,%,AMOUNT,,,,
12999,2017-05-25,ADMIN,#REF!,2,2150,4300,0.3,1290,2,553,1106,1904
12999,2017-05-25,ADMIN,#REF!,2,3800,7600,0.3,2280,2,890,1780,3540
12999,2017-05-25,ADMIN,#REF!,4,125,500,0.3,150,4,35,140,210
12999,2017-05-25,ADMIN,#REF!,2,1550,3100,0.3,930,2,480.9,961.8,1208.2
13000,2017-05-26,HOSPITAL,#REF!,2,650,1300,,0,2,202.5,405,895
13000,2017-05-26,HOSPITAL,#REF!,2,3960,7920,,0,2,1872,3744,4176
13000,2017-05-26,HOSPITAL,#REF!,2,2800,5600,,0,2,1173.6,2347.2,3252.8
13000,2017-05-26,HOSPITAL,#REF!,5,1200,6000,,0,5,90,450,5550
13009,2017-05-08,SUPPLIES,#REF!,,,0,,0,0,,0,0
13010,2017-04-03,SUPPLIES,#REF!,,,0,,0,0,,0,0
13011,2017-05-12,PHARMA,#REF!,10,600,6000,,0,10,203,2030,3970
13011,2017-05-12,PHARMA,#REF!,5,1150,5750,,0,5,365,1825,3925
13011,2017-05-12,PHARMA,#REF!,20,600,12000,,0,20,168,3360,8640
13012,2017-05-12,PHARMA,#REF!,244,60,14640,,0,244,20.5,5002,9638
13014,2017-05-17,SUPPLIES,#REF!,,,0,,0,0,,0,0
13077,2017-04-27,CAM SUR,#REF!,1,1800,1800,,0,1,540,540,1260
13078,2017-04-27,CAM SUR,#REF!,1,1800,1800,,0,1,540,540,1260
13079,2017-04-27,CAM SUR,#REF!,1,1750,1750,,0,1,450,450,1300
13080,2017-05-03,CAM SUR,#REF!,1,2700,2700,,0,1,1173.6,1173.6,1526.4
13081,2017-05-03,CAM SUR,#REF!,1,975,975,,0,1,307,307,668
13082,2017-04-03,CAM SUR,#REF!,1,800,800,,0,1,225,225,575
13083,2017-04-03,CAM SUR,#REF!,2,3000,6000,0.3,1800,2,1450,2900,1300
13084,2017-04-03,CAM SUR,#REF!,5,175,875,,0,6,47,282,593
13085,2017-05-10,CAM SUR,#REF!,10,310,3100,,0,10,129.7,1297,1803
13086,2017-05-10,CAM SUR,#REF!,1,2700,2700,,0,1,1173.6,1173.6,1526.4
13087,2017-05-10,CAM SUR,#REF!,12,190,2280,,0,12,75.6,907.1999999999999,1372.8000000000002
13088,2017-05-10,CAM SUR,#REF!,1,800,800,,0,1,225,225,575
13089,2017-05-10,CAM SUR,#REF!,12,88,1056,,0,12,24.47,293.64,762.36
13090,2017-05-10,CAM SUR,#REF!,12,75,900,,0,12,26.25,315,585
13091,2017-05-10,CAM SUR,#REF!,12,190,2280,,0,12,75.6,907.1999999999999,1372.8000000000002
13092,2017-05-10,CAM SUR,#REF!,1,500,500,,0,1,133,133,367
13093,2017-05-10,CAM SUR,#REF!,1,750,750,,0,1,240,240,510
13094,2017-05-10,CAM SUR,#REF!,1,800,800,,0,1,225,225,575
13095,2017-05-10,CAM SUR,#REF!,1,1600,1600,,0,1,480.9,480.9,1119.1
13096,2017-05-10,CAM SUR,#REF!,1,2700,2700,,0,1,1173.6,1173.6,1526.4
13097,2017-05-10,CAM SUR,#REF!,6,190,1140,,0,6,75.6,453.59999999999997,686.4000000000001
13098,2017-05-10,CAM SUR,#REF!,10,175,1750,,0,10,47,470,1280
13099,2017-05-10,CAM SUR,#REF!,1,2500,2500,,0,1,790,790,1710
13100,2017-05-10,CAM SUR,#REF!,10,880,8800,,0,10,24.47,244.7,8555.3
13101,2017-04-26,CAM NORTE,#REF!,2,1165,2330,,0,2,333,666,1664
