period,product,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2021-03,FERGLOBIN 250MG,Quezon,1,1,1,0,2.0,650.0,365.0,1015.0,435.0,1450.0
2021-03,FLAGEX 500MG,Quezon,1,1,1,0,1.0,98.0,357.0,455.0,195.0,650.0
2021-03,FOLACID 5MG,Quezon,4,1,4,0,8.0,1575.04,1979.46,3554.5,1435.5,4990.0
2021-03,GLOVEDOL 6.25MG,Quezon,2,1,2,0,63.0,2331.0,28483.0,30814.0,0.0,30814.0
2021-03,HYCLENS WOUND SPRAY (60ML),Batangas,1,1,1,0,20.0,2293.2,3426.8,5720.0,0.0,5720.0
2021-03,HYCLENS WOUND SPRAY (60ML),Quezon,1,1,1,0,24.0,2751.84,3080.16,5832.0,648.0,6480.0
2021-03,INTRAPLEM 500MG,Camarines Sur,2,1,2,0,5.0,1400.0,3500.0,4900.0,0.0,4900.0
2021-03,ISORANE 100% V/V 100ML,Camarines Norte,2,1,2,0,4.0,6800.0,5200.0,12000.0,0.0,12000.0
2021-03,JAGA 300MG/100MG/100MCG,Camarines Sur,2,1,2,0,3.0,1590.0,3210.0,4800.0,0.0,4800.0
2021-03,JAGA 300MG/100MG/100MCG,Quezon,8,1,8,0,14.0,7420.0,16698.0,18818.0,2618.0,21436.0
2021-03,LOCETIN 5MG,Batangas,1,1,1,0,2.0,520.0,5080.0,5600.0,0.0,5600.0
2021-03,MAXXIVIT PLUS,Quezon,2,1,2,0,15.0,8400.0,12600.0,21000.0,0.0,21000.0
2021-03,MULTI GROW 30ML DROPS,Quezon,1,1,1,0,20.0,1400.0,1190.0,2590.0,1110.0,3700.0
2021-03,MULTI GROW OB PLUS,Quezon,1,1,1,0,1.0,525.0,490.0,1015.0,435.0,1450.0
2021-03,PHYTOMEN 10MG/ML,Quezon,1,1,1,0,30.0,4350.0,19050.0,23400.0,0.0,23400.0
2021-03,ROZTIN 20MG,Laguna,1,1,1,0,20.0,4240.0,4160.0,8400.0,0.0,8400.0
2021-03,SOLUNATE 84MG/ML (8.4%),Camarines Norte,2,1,2,0,0.4,1840.0,2960.0,4800.0,0.0,4800.0
2021-03,SUSTACHLOR 125MG/5ML,Marinduque,1,1,1,0,12.0,570.0,1650.0,2220.0,0.0,2220.0
2021-03,TRIVASC 35MG MR,Quezon,7,1,7,0,70.0,30625.0,35525.0,66150.0,28350.0,94500.0
2021-03,TRIZEF 100MG,Batangas,2,1,2,0,5.0,6363.65,20636.35,27000.0,0.0,27000.0
2021-03,VOXOLL 15MG/5ML SYR,Quezon,2,1,2,0,22.0,506.0,1844.0,2350.0,450.0,2800.0
2021-03,XYNETRIX CHEWABLE TABLET,Batangas,1,1,1,0,3.0,1350.0,1530.0,2880.0,0.0,2880.0
2021-03,XYNETRIX CHEWABLE TABLET,Quezon,1,1,1,0,2.0,900.0,780.0,1680.0,720.0,2400.0
2021-04,AMPI-1,Camarines Norte,1,1,1,0,1.0,125.0,1090.0,1215.0,0.0,1215.0
2021-04,ANEROCIN 300MG,Batangas,1,1,1,0,2.0,1958.0,4842.0,6800.0,0.0,6800.0
2021-04,BROADMETZ 500MG CAP,Camarines Norte,1,1,1,0,1.0,319.0,761.0,1080.0,0.0,1080.0
2021-04,BUPIRIGHT AMPULE,Camarines Norte,3,1,3,0,86.0,15910.0,33340.0,49250.0,0.0,49250.0
2021-04,CENDALEX 100MG/ML DROPS,Quezon,1,1,1,0,15.0,465.0,1260.0,1725.0,0.0,1725.0
2021-04,CEPROTRON 500MG,Batangas,1,1,1,0,4.0,2200.0,5500.0,7700.0,0.0,7700.0
2021-04,CINNABLOC 25MG,Camarines Norte,1,1,1,0,1.0,133.0,367.0,500.0,0.0,500.0
2021-04,CINNABLOC 75MG,Quezon,1,1,1,0,10.0,400.0,1200.0,1600.0,0.0,1600.0
2021-04,CIXTOR-Z 500MG,Quezon,2,1,2,0,4.0,840.0,1218.0,2058.0,882.0,2940.0
2021-04,CORBAL 100MG,Cavite,1,1,1,0,5.0,1050.0,3450.0,4500.0,0.0,4500.0
2021-04,DOLO JAGA 500MG/50MG/100MG/100MCG,Batangas,2,1,2,0,5.0,3075.0,5925.0,9000.0,0.0,9000.0
2021-04,DOLO JAGA 500MG/50MG/100MG/100MCG,Camarines Norte,2,1,2,0,2.0,1230.0,1970.0,3200.0,0.0,3200.0
2021-04,DOLO JAGA 500MG/50MG/100MG/100MCG,Camarines Sur,1,1,1,0,5.0,3075.0,2425.0,5500.0,0.0,5500.0
2021-04,DOLO JAGA 500MG/50MG/100MG/100MCG,Quezon,2,1,2,0,3.0,1845.0,3555.0,5400.0,600.0,6000.0
2021-04,DULAX 3.35MG,Camarines Norte,2,1,2,0,40.0,3800.0,5400.0,9200.0,0.0,9200.0
2021-04,EPIX BY 10'S,Quezon,1,1,1,0,20.0,3500.0,12100.0,15600.0,0.0,15600.0
2021-04,EVAPROST 250MCG/ML,Camarines Norte,2,1,2,0,4.0,14300.0,7700.0,22000.0,0.0,22000.0
2021-04,FERGLOBIN 250MG,Quezon,1,1,1,0,5.0,1625.0,2625.0,4250.0,0.0,4250.0
2021-04,FOLACID 5MG,Quezon,2,1,2,0,9.0,1771.92,3394.08,5166.0,369.0,5535.0
2021-04,GIAN ZINC 120ML SYR,Batangas,1,1,1,0,10.0,850.0,950.0,1800.0,0.0,1800.0
2021-04,GLOVEDOL 6.25MG,Quezon,1,1,1,0,13.0,481.0,5483.0,5964.0,0.0,5964.0
2021-04,GYNE-TOCIN 10IU/ML,Cavite,1,1,1,0,10.0,740.0,7260.0,8000.0,0.0,8000.0
2021-04,HISTARIL 1MG/50MG/5ML SYR,Camarines Sur,1,1,1,0,12.0,267.6,788.4,1056.0,0.0,1056.0
2021-04,HISTARIL 2MG/100MG CAP,Camarines Sur,1,1,1,0,1.0,225.0,575.0,800.0,0.0,800.0
2021-04,HYCLENS GARGLE (120ML),Cavite,2,1,2,0,24.0,2112.0,2112.0,4224.0,0.0,4224.0
2021-04,HYCLENS GARGLE (60ML),Quezon,1,1,1,0,10.0,650.0,2050.0,2700.0,0.0,2700.0
2021-04,HYCLENS WOUND SPRAY (60ML),Cavite,4,1,4,0,37.0,4242.42,7895.82,12138.24,522.0,12660.24
2021-04,HYCLENS WOUND SPRAY (60ML),Quezon,1,1,1,0,4.0,458.64,513.36,972.0,108.0,1080.0
2021-04,HYPHEN 50MG,Cavite,1,1,1,0,3.0,681.81,2130.69,2812.5,0.0,2812.5
2021-04,INTRAPLEM 500MG,Camarines Sur,1,1,1,0,2.0,560.0,1400.0,1960.0,0.0,1960.0
2021-04,IRBIN 150MG,Quezon,1,1,1,0,13.0,2694.51,9065.49,11760.0,0.0,11760.0
2021-04,JAGA 300MG/100MG/100MCG,Quezon,1,1,1,0,5.0,2650.0,2740.0,5390.0,0.0,5390.0
2021-04,JAGAPLEX SYR 120ML,Camarines Sur,1,1,1,0,10.0,538.5,1211.5,1750.0,0.0,1750.0
2021-04,METMIC 500MG,Camarines Norte,3,1,3,0,8.0,1820.0,4180.0,6000.0,0.0,6000.0
2021-04,MULTI GROW 120ML,Quezon,1,1,1,0,30.0,2700.0,1185.0,3885.0,1665.0,5550.0
