period,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2019-04,Laguna,120,69,26,0,2009.3,173612.8,860968.2,0.0,0.0,1034581.0
2019-04,Marinduque,15,13,6,0,237.12,42449.77,63853.27,0.0,12056.96,106303.04
2019-04,Quezon,74,50,33,0,745.2,91450.02,205452.8,0.0,4703.97,290152.82
2019-05,Batangas,37,24,26,0,259.0,64219.87,165674.13,0.0,0.0,229894.0
2019-05,Camarines Norte,55,33,40,0,332.7,56789.75,145127.25,0.0,1001.0,201917.0
2019-05,Camarines Sur,36,24,16,0,290.0,49138.98,220691.02,0.0,0.0,269830.0
2019-05,Cavite,43,33,33,0,601.0,104348.66,167908.38,0.0,6235.0,272257.04
2019-05,Laguna,112,78,23,0,2191.13,211607.58,890327.22,0.0,0.0,1080244.0
2019-05,Marinduque,9,6,3,0,77.0,16770.95,30429.05,0.0,0.0,47200.0
2019-05,Quezon,78,50,34,0,792.0,137721.74,337777.13,0.0,18191.13,470198.87
2019-06,Batangas,75,51,40,0,1355.0,173761.73,379012.08,0.0,0.0,552773.8
2019-06,Camarines Norte,27,18,20,0,198.8,56808.36,226295.64,0.0,270.0,283104.0
2019-06,Camarines Sur,21,12,10,0,123.0,18974.29,27927.71,0.0,0.0,46902.0
2019-06,Cavite,37,21,27,0,577.1,61193.01,149242.59,0.0,14812.5,210178.0
2019-06,Laguna,87,53,23,0,1298.6,105061.32,429114.68,0.0,0.0,534176.0
2019-06,Marinduque,19,16,7,0,266.0,39239.32,78676.68,0.0,10650.0,117916.0
2019-06,Quezon,52,41,21,0,395.0,56784.04,120713.26,0.0,13800.7,177497.3
2019-07,Batangas,88,40,78,0,585.92,97974.95,395387.06,0.0,0.0,493362.0
2019-07,Camarines Norte,38,22,29,0,303.7,57765.57,138059.43,0.0,0.0,195825.0
2019-07,Camarines Sur,37,30,14,0,214.0,22382.71,44889.3,0.0,0.0,67272.0
2019-07,Cavite,57,33,31,0,642.0,71048.1,148430.79,0.0,3815.7,219478.89
2019-07,Laguna,79,57,23,0,1380.79,217022.92,475931.08,0.0,0.0,692904.0
2019-07,Marinduque,7,6,3,0,75.0,15245.0,21405.0,0.0,0.0,36650.0
2019-07,Quezon,81,46,33,0,773.0,116544.19,232373.22,0.0,13214.79,348917.41
2019-08,Batangas,77,50,57,0,1142.33,281416.08,439421.14,0.0,0.0,714875.0
2019-08,Camarines Norte,30,19,17,0,191.4,39671.58,77220.92,0.0,682.5,116892.5
2019-08,Camarines Sur,43,28,15,0,278.0,44102.62,70754.38,0.0,0.0,114857.0
2019-08,Cavite,41,29,27,0,820.0,92747.7,167187.96,0.0,11022.0,259935.65
2019-08,Laguna,67,53,12,0,686.0,87984.77,212885.57,0.0,0.0,283529.0
2019-08,Marinduque,4,3,4,0,128.0,15472.0,11158.0,0.0,0.0,26630.0
2019-08,Quezon,32,27,18,0,519.43,72266.33,120299.89,0.0,1980.0,187128.0
2019-09,Batangas,87,42,78,0,875.0,113960.47,244387.53,0.0,0.0,358348.0
2019-09,Camarines Norte,60,32,27,0,311.2,68207.41,142159.59,0.0,858.0,210367.0
2019-09,Camarines Sur,24,20,11,0,294.0,17624.67,34729.33,0.0,3000.0,52354.0
2019-09,Cavite,48,31,31,0,518.0,94035.27,212596.59,0.0,6300.0,306631.86
2019-09,Laguna,23,20,13,0,249.3,35812.13,68592.87,0.0,0.0,104405.0
2019-09,Marinduque,23,15,11,0,135.0,31281.24,44363.86,0.0,21372.9,75645.1
2019-09,Quezon,68,46,30,0,629.0,114416.22,210353.78,0.0,19260.0,324770.0
2020-01,Batangas,13,12,11,0,120.0,19638.03,35777.97,55416.0,0.0,55416.0
2020-01,Camarines Norte,38,17,27,0,197.8,79398.36,104326.64,183725.0,0.0,183725.0
2020-01,Camarines Sur,20,17,6,0,141.0,19496.39,35394.61,54891.0,0.0,54891.0
2020-01,Cavite,22,16,16,0,298.0,41615.2,129831.39,171446.59,1044.0,172490.59
2020-01,Laguna,8,8,3,0,102.0,4857.1,21052.9,25910.0,0.0,25910.0
2020-01,Marinduque,44,27,11,0,610.0,63530.32,105489.68,169020.0,15690.0,184710.0
2020-01,Quezon,61,42,29,0,512.0,101762.53,169757.26,271519.79,41058.0,312577.79
2020-02,Batangas,26,17,21,0,170.0,54049.78,130414.22,184464.0,0.0,184464.0
2020-02,Camarines Norte,32,24,15,0,322.2,120204.4,139905.6,260110.0,0.0,260110.0
2020-02,Camarines Sur,74,64,15,0,452.41,54076.19,137262.8,191338.99,2520.0,193858.99
2020-02,Cavite,23,19,15,0,259.0,36090.62,103899.37,139989.99,0.0,139989.99
2020-02,Laguna,3,3,2,0,6.0,421.93,1674.07,2096.0,0.0,2096.0
2020-02,Marinduque,16,15,8,0,269.0,27269.69,54997.41,82267.1,8533.24,90800.34
2020-02,Quezon,72,49,31,0,612.63,113148.19,210145.31,323293.5,31174.5,354468.0
2020-03,Batangas,43,29,23,0,173.0,48511.71,131146.37,179573.0,0.0,179573.0
2020-03,Camarines Norte,12,12,4,0,73.0,5774.61,10692.39,-13267.0,0.0,16467.0
2020-03,Camarines Sur,96,72,17,0,801.38,74826.1,154779.51,-56480.35,0.0,226823.59
2020-03,Cavite,30,22,18,0,264.0,51604.36,127386.38,178990.74,6580.0,185570.74
2020-03,Laguna,6,6,3,0,24.29,8171.8,17296.2,25468.0,0.0,25468.0
2020-03,Marinduque,15,13,7,0,129.0,21598.43,39351.17,60949.6,11486.4,72436.0
2020-03,Quezon,34,20,26,0,283.0,96202.94,161127.56,257330.5,24457.5,281788.0
2020-04,Batangas,25,17,18,0,149.0,31950.83,72889.17,104840.0,0.0,104840.0
2020-04,Camarines Sur,1,1,1,0,10.0,6150.0,4850.0,11000.0,0.0,11000.0
2020-04,Cavite,15,10,9,0,232.0,55915.99,114753.93,170669.92,21000.0,191669.92
2020-04,Quezon,8,7,6,0,110.0,38370.51,75929.49,114300.0,0.0,114300.0
2020-05,Batangas,2,2,1,0,4.0,2350.13,5269.87,7620.0,0.0,7620.0
2020-05,Camarines Norte,36,17,31,0,251.8,99828.28,177561.72,277390.0,455.0,277845.0
2020-05,Cavite,12,11,7,0,173.0,41096.29,42162.43,63778.4,1412.5,65190.9
2020-05,Quezon,3,3,3,0,56.0,14462.5,34460.0,48922.5,652.5,49575.0
2020-06,Batangas,21,14,17,0,141.0,35523.33,72099.67,107623.0,0.0,107623.0
2020-06,Camarines Norte,17,13,2,0,65.16,6518.74,19879.76,-26398.5,0.0,26398.5
2020-06,Cavite,31,20,23,0,340.0,35166.37,106137.81,141304.18,4775.0,146079.18
2020-06,Laguna,9,9,1,0,56.1,7519.32,21990.68,29510.0,0.0,29510.0
2020-06,Marinduque,18,14,7,0,167.0,60687.77,77045.35,88568.38,6614.82,95183.2
2020-06,Quezon,52,35,21,0,456.0,97724.39,224081.11,321805.5,5672.5,327478.0
2020-07,Batangas,35,25,27,0,228.0,67799.46,144962.74,212762.2,1510.8,214273.0
2020-07,Camarines Norte,30,22,16,0,151.46,67339.62,114729.78,182069.4,0.0,182069.4
2020-07,Camarines Sur,5,4,5,0,51.0,27601.08,25788.92,53390.0,4320.0,57710.0
2020-07,Cavite,48,30,38,0,581.33,63768.09,185133.5,248901.59,5613.75,254515.34
2020-07,Marinduque,36,24,11,0,368.0,68926.09,108299.66,177225.75,12459.53,189685.28
2020-07,Quezon,44,25,26,0,351.0,98317.63,154053.3,246966.93,20050.07,267017.0
2020-08,Batangas,25,18,19,0,182.0,44773.65,100156.35,144930.0,0.0,144930.0
2020-08,Camarines Sur,25,21,10,0,159.0,29398.11,50769.89,80168.0,2592.0,82760.0
2020-08,Cavite,21,15,18,0,474.0,50451.17,152343.83,202795.0,3800.0,206595.0
2020-08,Laguna,6,6,3,0,23.0,9695.67,19464.33,29160.0,0.0,29160.0
2020-08,Marinduque,18,16,7,0,156.0,36193.83,74104.92,110298.75,16485.53,126784.28
2020-08,Quezon,10,10,8,0,46.0,15569.1,30732.9,46302.0,1011.0,47313.0
2020-09,Batangas,6,6,5,0,83.0,16488.72,43921.28,60410.0,0.0,60410.0
2020-09,Cavite,36,27,21,0,479.0,60532.98,139174.25,158407.23,5700.0,164107.23
2020-09,Marinduque,12,9,5,0,122.0,30816.82,40045.93,70862.75,8727.53,79590.28
2020-09,Quezon,22,13,17,0,186.0,47585.5,63508.0,111093.5,5611.5,116705.0
2020-10,Batangas,8,8,7,0,55.0,16548.33,32597.67,49146.0,0.0,49146.0
2020-10,Camarines Norte,52,22,43,0,457.6,156895.03,239794.97,396690.0,0.0,396690.0
2020-10,Camarines Sur,47,33,16,0,287.64,63811.11,103666.89,156428.0,1620.0,158048.0
2020-10,Cavite,13,11,10,0,178.0,17102.67,50718.68,67821.35,0.0,67821.35
2020-10,Laguna,119,119,12,0,1445.67,140461.9,430554.38,555004.1,0.0,555004.1
2020-10,Quezon,22,18,15,0,193.0,51804.39,64246.11,116050.5,20428.5,136479.0
