period,product,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2017-01,SODAMPEN 1G IM/IV,5,1,5,0,115.0,5175.0,8905.0,0.0,0.0,14080.0
2017-01,SPLENDAMET,1,1,1,0,3.0,384.0,1056.0,0.0,0.0,1440.0
2017-01,STALIP A 5MG+10MG,3,1,3,0,5.0,2721.0,8899.0,0.0,0.0,11620.0
2017-01,SURITRAM,3,1,3,0,10.0,5000.0,9690.0,0.0,0.0,14690.0
2017-01,THROMBICARE 75MG TAB,4,1,4,0,8.0,3072.0,5068.0,0.0,0.0,8140.0
2017-01,TOSYLAM 375MG,1,1,1,0,3.0,2295.0,3205.0,0.0,0.0,5500.0
2017-01,TOSYLAM 750MG,4,1,4,0,7.0,6860.0,8740.0,0.0,0.0,15600.0
2017-01,TRIVASC 35MG MR,7,1,7,0,17.0,7565.0,16065.0,0.0,0.0,23630.0
2017-01,VICEPHRIN 100MG/ML DROPS,6,1,6,0,61.0,1525.0,4116.6,0.0,0.1,5776.0
2017-01,VICEPHRIN 250MG/5ML,5,1,5,0,62.0,2976.0,7534.0,0.0,0.1,10870.0
2017-01,VISTREP 250MG/5ML,1,1,1,0,6.0,288.0,792.0,0.0,0.0,1080.0
2017-01,VISTREP 500MG,1,1,1,0,2.0,638.0,1402.0,0.0,0.0,2040.0
2017-01,VITAIR,4,1,4,0,8.0,2808.0,5592.0,0.0,0.0,8400.0
2017-01,VITAKIDS 120ML,2,1,2,0,27.0,1313.55,2736.45,0.0,0.0,4050.0
2017-01,VITALYF,1,1,1,0,2.0,480.0,4520.0,0.0,0.0,5000.0
2017-01,VOXOLL 15MG/5ML,6,1,6,0,65.0,1495.0,2765.0,0.0,0.0,4260.0
2017-01,VOXOLL 30MG,5,1,5,0,33.0,4819.0,16891.0,0.0,0.0,21710.0
2017-01,XITHROM 150MG,2,1,2,0,4.0,4940.0,11660.0,0.0,0.0,16600.0
2017-01,XYNETIN 1500MG,3,1,3,0,21.0,6510.0,7740.0,0.0,0.0,14250.0
2017-01,ZEGECEF 250MG/5ML,3,1,3,0,30.0,4183.5,8008.5,0.0,0.1,12480.0
2017-01,ZELECTA,2,1,2,0,2.0,450.0,1050.0,0.0,0.0,1500.0
2017-01,ZELEX 200MG,7,1,7,0,41.0,30750.0,80750.0,0.0,0.0,111500.0
2017-01,ZETIFEN 100MG,1,1,1,0,45.0,756.0,1854.0,0.0,0.0,2610.0
2017-01,ZETIFEN 250MG/5ML,4,1,4,0,73.0,1642.9,4131.1,0.0,0.0,5774.0
2017-01,ZINAXIME 500MG,5,1,5,0,10.0,14500.0,6500.0,0.0,0.0,21000.0
2017-01,ZINCAVIT 55MG,1,1,1,0,40.0,960.0,2440.0,0.0,0.0,3400.0
2017-01,ZIONEL 50MG,1,1,1,0,4.0,800.0,1900.0,0.0,0.0,2700.0
2017-01,ZITHROVIC 500MG,1,1,1,0,3.0,225.0,375.0,0.0,0.0,600.0
2017-01,ZYMAX,1,1,1,0,5.0,405.0,1395.0,0.0,0.0,1800.0
2017-01,ZYNERVA 1G,1,1,1,0,2.0,3120.0,3480.0,0.0,0.0,6600.0
2017-02,ACIFOX,1,1,1,0,100.0,29800.0,52200.0,0.0,0.0,82000.0
2017-02,ALBROXOL 30MG,1,1,1,0,6.0,240.0,528.0,0.0,0.0,768.0
2017-02,ALDAZOLE 500MG,1,1,1,0,1.0,180.0,640.0,0.0,0.0,820.0
2017-02,ALGESIC FORTE 325MG+400MG,1,1,1,0,5.0,1092.3,3032.7,0.0,0.0,4125.0
2017-02,ALGICAP 500MG,2,1,2,0,5.0,1137.5,2022.5,0.0,0.0,3160.0
2017-02,ALGICAP 50MG/5ML,1,1,1,0,3.0,72.0,168.0,0.0,0.0,240.0
2017-02,ALLERCEF 1MG,3,1,3,0,18.0,1440.0,2880.0,0.0,0.0,4320.0
2017-02,ALTOCLAV 250MG/62.5MG/5ML,1,1,1,0,24.0,3720.0,1080.0,0.0,0.0,4800.0
2017-02,ALTOSAR 50MG/12.5MG,9,1,9,0,33.0,5214.0,13036.0,0.0,0.5,18500.0
2017-02,AMBRODAY 75MG SR,1,1,1,0,3.0,750.0,1350.0,0.0,0.0,2100.0
2017-02,AMETRIS 500MG,1,1,1,0,1.0,170.0,480.0,0.0,0.0,650.0
2017-02,AMLOMED 10MG,2,1,2,0,31.0,1027.0,1848.0,0.0,0.5,3250.0
2017-02,AMLOMED 5MG,1,1,1,0,1.0,460.0,1010.0,0.0,0.0,1470.0
2017-02,AMSUTAS,3,1,3,0,90.0,4050.0,16450.0,0.0,0.0,20500.0
2017-02,ANEROCIN 300MG,2,1,2,0,74.0,2420.8,7915.2,0.0,0.0,10336.0
2017-02,ANTIZOAL,4,1,4,0,920.0,23000.0,88150.0,0.0,0.0,111150.0
2017-02,APROCARE 150MG,6,1,6,0,46.0,10074.0,23421.0,0.0,0.0,33495.0
2017-02,ASTYMIN 120ML,5,1,5,0,77.0,9100.0,31400.0,0.0,0.0,40500.0
2017-02,ATOVAS 20MG,10,1,10,0,68.0,13859.4,35610.6,0.0,0.0,49470.0
2017-02,AZECLO 100MG,7,1,7,0,12.0,4928.0,12617.0,0.0,0.0,17545.0
2017-02,BERCEF 250MG/5ML,10,1,10,0,101.0,14948.0,24462.0,0.0,0.0,39410.0
2017-02,BERCEF 50MG DROPS,5,1,5,0,40.0,1680.0,5170.0,0.0,0.0,6850.0
2017-02,BICOTEX-B,1,1,1,0,10.0,300.0,900.0,0.0,0.0,1200.0
2017-02,BROADMETZ 125MG/5ML,1,1,1,0,2.0,47.6,110.4,0.0,0.0,158.0
2017-02,BROADMETZ 250MG/5ML,1,1,1,0,10.0,280.0,670.0,0.0,0.0,950.0
2017-02,BROADMETZ 500MG,1,1,1,0,1.0,319.0,751.0,0.0,0.0,1070.0
2017-02,BRODIX,3,1,3,0,529.0,4807.75,13892.25,0.0,0.0,18700.0
2017-02,BROXIL M 30MG,1,1,1,0,2.0,480.0,860.0,0.0,0.0,1340.0
2017-02,BROXIL-M 30MG,1,1,1,0,2.0,420.0,920.0,0.0,0.0,1340.0
2017-02,C ZETTE,1,1,1,0,10.0,170.0,490.0,0.0,0.0,660.0
2017-02,CALIBRAL 500MG,1,1,1,0,2.0,470.0,530.0,0.0,0.0,1000.0
2017-02,CAPSUGEN FORTE,1,1,1,0,5.0,1550.0,3200.0,0.0,0.0,4750.0
2017-02,CEEPRAZOL 20MG,3,1,3,0,9.0,4950.0,12690.0,0.0,0.0,17640.0
2017-02,CEFZIME 750MG IM/IV,3,1,3,0,18.0,13500.0,40500.0,0.0,0.0,54000.0
2017-02,CELENCE 200MG,2,1,2,0,3.0,2580.0,7500.0,0.0,0.0,10080.0
2017-02,CENDALEX 500MG,1,1,1,0,1.0,300.0,700.0,0.0,0.0,1000.0
2017-02,CEPROTRON 500MG,4,1,4,0,11.0,4565.0,10135.0,0.0,0.0,14700.0
2017-02,CETOCIN,1,1,1,0,400.0,4800.0,27200.0,0.0,0.0,32000.0
2017-02,CINNABLOC 25MG,3,1,3,0,3.0,399.0,1101.0,0.0,0.0,1500.0
2017-02,CINNABLOC 75MG,3,1,3,0,11.0,998.0,3132.0,0.0,0.0,4130.0
2017-02,CLAVIC 125MG/31.25MG/5ML,5,1,5,0,58.0,5013.2,8206.8,0.0,0.0,13220.0
