territory,period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Camarines Norte,2020-02,2019-02,322.2,120204.4,181.6,57593.37,0.774229,1.087122,False
Camarines Sur,2020-02,2019-02,452.41,54076.19,420.12,61163.0,0.076859,-0.115868,False
Cavite,2020-02,2019-02,259.0,36090.62,939.24,55052.77,-0.724245,-0.344436,False
Laguna,2020-02,2019-02,6.0,421.93,588.2,242316.27,-0.989799,-0.998259,False
Marinduque,2020-02,2019-02,269.0,27269.69,138.0,11535.63,0.949275,1.363953,False
Quezon,2020-02,2019-02,612.63,113148.19,739.0,83222.11,-0.171001,0.359593,False
Batangas,2020-03,2019-03,173.0,48511.71,1121.3,110056.27,-0.845715,-0.55921,False
Camarines Norte,2020-03,2019-03,73.0,5774.61,62.0,12597.32,0.177419,-0.5416,False
Camarines Sur,2020-03,2019-03,801.38,74826.1,577.0,110615.3,0.388873,-0.323547,False
Cavite,2020-03,2019-03,264.0,51604.36,589.0,44703.91,-0.551783,0.154359,False
Laguna,2020-03,2019-03,24.29,8171.8,1126.28,433971.92,-0.978433,-0.98117,False
Marinduque,2020-03,2019-03,129.0,21598.43,651.0,65244.17,-0.801843,-0.66896,False
Quezon,2020-03,2019-03,283.0,96202.94,342.0,44323.31,-0.172515,1.170482,False
Batangas,2020-04,2019-04,149.0,31950.83,637.46,104963.39,-0.76626,-0.6956,False
Camarines Sur,2020-04,2019-04,10.0,6150.0,360.0,70145.94,-0.972222,-0.912326,False
Cavite,2020-04,2019-04,232.0,55915.99,725.0,73536.0,-0.68,-0.239611,False
Quezon,2020-04,2019-04,110.0,38370.51,745.2,91450.02,-0.852389,-0.580421,False
Batangas,2020-05,2019-05,4.0,2350.13,259.0,64219.87,-0.984556,-0.963405,False
Camarines Norte,2020-05,2019-05,251.8,99828.28,332.7,56789.75,-0.243162,0.757857,False
Cavite,2020-05,2019-05,173.0,41096.29,601.0,104348.66,-0.712146,-0.606164,False
Quezon,2020-05,2019-05,56.0,14462.5,792.0,137721.74,-0.929293,-0.894988,False
Batangas,2020-06,2019-06,141.0,35523.33,1355.0,173761.73,-0.895941,-0.795563,False
Camarines Norte,2020-06,2019-06,65.16,6518.74,198.8,56808.36,-0.672233,-0.88525,False
Cavite,2020-06,2019-06,340.0,35166.37,577.1,61193.01,-0.410847,-0.42532,False
Laguna,2020-06,2019-06,56.1,7519.32,1298.6,105061.32,-0.9568,-0.928429,False
Marinduque,2020-06,2019-06,167.0,60687.77,266.0,39239.32,-0.37218,0.546606,False
Quezon,2020-06,2019-06,456.0,97724.39,395.0,56784.04,0.15443,0.720983,False
Batangas,2020-07,2019-07,228.0,67799.46,585.92,97974.95,-0.610868,-0.307992,False
Camarines Norte,2020-07,2019-07,151.46,67339.62,303.7,57765.57,-0.501284,0.16574,False
Camarines Sur,2020-07,2019-07,51.0,27601.08,214.0,22382.71,-0.761682,0.233143,False
Cavite,2020-07,2019-07,581.33,63768.09,642.0,71048.1,-0.094502,-0.102466,False
Marinduque,2020-07,2019-07,368.0,68926.09,75.0,15245.0,3.906667,3.521226,False
Quezon,2020-07,2019-07,351.0,98317.63,773.0,116544.19,-0.545925,-0.156392,False
