product_name,total_transactions,total_quantity,total_net_sales,total_gross_margin,gross_margin_pct,first_year,last_year
CAPSUGEN FORTE,98,322.40,306307.47,96097.62,31.37,2017,2020
"PROVINCIAL TOURISM OFFICE # 306,000.00",1,1.00,305800.00,103207.50,33.75,2024,2024
"QMC # 306,000",1,1.00,305400.00,185430.00,60.72,2025,2025
FACE MASK EARLOOP,29,1317.00,304964.00,244099.00,80.04,2018,2023
LOCETIN 5MG,45,110.00,304884.00,273744.75,89.79,2018,2022
GAUZE ROLL 28X24 - SURGITECH,16,184.00,303742.00,138142.00,45.48,2018,2023
FERGLOBIN 250MG CAP,87,567.00,303715.49,119440.49,39.33,2023,2025
KETERO 30MG,10,512.00,302800.00,254760.00,84.13,2018,2020
VOXOLL 30MG,107,436.00,302722.00,229191.00,75.71,2017,2025
BENERVA FORTE 300MG/100MG/100MCG,47,256.00,301460.50,167060.50,55.42,2023,2025
"PAGBILAO # 404,280.00",1,1.00,300820.00,102880.44,34.20,2025,2025
AEROVENT 1MG/ML,33,745.85,300660.81,76220.05,25.35,2018,2023
SPASMOSON 20MG,8,316.00,299880.00,77280.00,25.77,2018,2019
AIRCON SPLIT TYPE 2.5HP INVERTER (CARRIER),1,2.00,299600.00,181604.00,60.62,2024,2024
"TOURISM # 300,000.00",1,1.00,299200.00,102326.40,34.20,2025,2025
ANMUM PLAIN,1,1200.00,298800.00,63000.00,21.08,2020,2020
IV CANNULA WITHOUT INJECTION PORT LUER LOCK G26 0.6X19MM (CATHULA),6,88.22,298183.60,93655.60,31.41,2024,2025
SITIXON 1G 10ML,26,3253.00,297910.00,183174.00,61.49,2023,2025
EVAPROST 250,7,257.00,297700.00,183300.00,61.57,2017,2020
ECG MACHINE 3 CHANNEL (MEDX),2,3.00,296100.00,131100.00,44.28,2025,2025
CARVIDA 6.25MG,16,562.00,295416.00,221232.00,74.89,2024,2025
NAXCIL-600 600MG,4,1060.00,295410.80,99310.80,33.62,2022,2023
CORSTAPH 500MG,63,1771.89,293613.00,182981.55,62.32,2017,2021
"PAGBILAO # 145,973",2,2.00,291414.10,143820.10,49.35,2025,2025
SYLVITE 2MEQ/ML,21,479.80,289765.40,169250.45,58.41,2018,2023
"PAGBILAO # 327,050.00",1,1.00,289362.50,57878.50,20.00,2025,2025
GREEN CROSS ALCOHOL 500ML,15,2609.00,288026.00,1274.10,0.44,2019,2022
EUROGYL 5MG/ML (500MG/100ML),28,2447.00,287790.00,231647.00,80.49,2018,2021
SAPHORMIN 500MG,22,899.00,285332.50,64355.94,22.55,2019,2023
DIFLOSID 25MG/ML 3ML,65,386.50,284582.60,235962.10,82.92,2023,2025
ALLECUR 10MG,38,462.24,283519.98,268185.74,94.59,2019,2023
AIDEX 5LITRES,10,93.00,282380.00,158360.00,56.08,2020,2022
"QMC # 281,480.00",1,1.00,280900.00,175398.00,62.44,2025,2025
VICEPHRIN 250MG/5ML,116,1570.00,279658.80,75783.90,27.10,2017,2021
ANMUM MATERNA PLAIN 180G,1,1000.00,279000.00,82250.00,29.48,2023,2023
ZACZIN 20MG/ML,15,848.00,278855.00,239347.00,85.83,2021,2023
RANIREX 25MG/ML,47,395.00,278800.00,265651.50,95.28,2018,2022
CELEKOP 200MG CAP,17,340.00,277809.00,233105.00,83.91,2024,2025
"PAGBILAO # 373,500",1,1.00,275500.00,31053.00,11.27,2025,2025
MONILIASOL 125MG/5ML,237,3154.61,275290.11,55709.40,20.24,2017,2021
LAZICARE 10MG/ML (20MG/2ML) 2ML,16,3186.00,273530.00,98450.00,35.99,2024,2025
