source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes
2024s.csv,2024-11-11,2905,2024-11-11,Government,"PAGBILAO # 4,800.00",1,4740,4740,0,4740,2820.3,2820.3,1919.7,0.41,valid,
2024s.csv,2024-11-13,2840,2024-11-13,Government,"PAGBILAO # 31,075.00",1,30835,30835,0,30835,20425,20425,10410,0.34,valid,
2024s.csv,2024-11-18,2901,2024-11-18,Government,"PAGBILAO # 10,000.00-3",1,9950,9950,0,9950,5990,5990,3960,0.4,valid,
2024s.csv,2024-11-18,2903,2024-11-18,Government,"PAGBILAO # 22,500.00",1,22310,22310,0,22310,13372.03,13372.03,8937.97,0.4,valid,
2024s.csv,2024-11-18,2902,2024-11-18,Government,"PAGBILAO # 444,400.00",1,442288,442288,0,442288,287400,287400,154888,0.35,valid,
2024s.csv,2024-11-26,2915,2024-11-26,Government,"PAGBILAO # 27,000.00",1,26865,26865,0,26865,14850,14850,12015,0.45,valid,
2024s.csv,2024-11-26,2910,2024-11-26,Government,"PAGBILAO # 90,730.00",1,90510,90510,0,90510,53853.45,53853.45,36656.55,0.41,valid,
2024s.csv,2024-11-28,2917,2024-11-28,Government,"PAGBILAO # 102,000.00",1,101600,101600,0,101600,69000,69000,32600,0.32,valid,
2024s.csv,2024-11-28,2916,2024-11-28,Government,"PAGBILAO # 21,000.00",1,20760,20760,0,20760,13800,13800,6960,0.34,valid,
2024s.csv,2024-12-11,2907,2024-12-11,Government,"PAGBILAO # 11,000.00-03",1,10940,10940,0,10940,6509.3,6509.3,4430.7,0.41,valid,
2024s.csv,2024-12-11,2912,2024-12-11,Government,"PAGBILAO # 282,000.00",1,18695,18695,0,18695,165477.24,165477.24,146782.24,-0.0785,valid,
2024s.csv,2024-12-11,2908,2024-12-11,Government,"PAGBILAO # 35,550.00",1,35195,35195,0,35195,20941.03,20941.03,14253.97,0.4,valid,
2024s.csv,2024-12-11,2906,2024-12-11,Government,"PAGBILAO # 40,000.00",1,39900,39900,0,39900,23740.5,23740.5,16159.5,0.41,valid,
2024s.csv,2024-12-11,2909,2024-12-11,Government,"PAGBILAO # 6,000.00",1,5955,5955,0,5955,3543.23,3543.23,2411.77,0.4,valid,
2024s.csv,2024-12-13,2927,2024-12-13,Government,"PAGBILAO # 2,316,267",1,2084640.3,2084640.3,0,2084640.3,1660000,1660000,424640.3,0.2,valid,
2024s.csv,2024-12-31,2851,2024-12-31,Government,"PAGBILAO # 11,000",1,10960,10960,0,10960,6521.2,6521.2,4438.8,0.41,valid,
2024s.csv,2024-12-31,2849,2024-12-31,Government,"PAGBILAO # 16,000",1,5895,5895,0,5895,9353.4,9353.4,3458.4,-0.59,valid,
2024s.csv,2024-12-31,2863,2024-12-31,Government,"PAGBILAO # 16,620",1,16566,16566,0,16566,13077,13077,3489,0.21,valid,
2024s.csv,2024-12-31,2864,2024-12-31,Government,"PAGBILAO # 16,620-2",1,16575,16575,0,16575,13077,13077,3498,0.21,valid,
2024s.csv,2024-12-31,2852,2024-12-31,Government,"PAGBILAO # 17,000",1,16930,16930,0,16930,9463.42,9463.42,7466.58,0.44,valid,
2024s.csv,2024-12-31,2873,2024-12-31,Government,"PAGBILAO # 2,070,000",1,2069000,2069000,0,2069000,1374000,1374000,695000,0.34,valid,
2024s.csv,2024-12-31,2867,2024-12-31,Government,"PAGBILAO # 27,738.60",1,27293,27293,0,27293,7547.35,7547.35,19745.65,0.72,valid,
2024s.csv,2024-12-31,2847,2024-12-31,Government,"PAGBILAO # 298,999.7",1,203319.8,203319.8,0,203319.8,134699.36,134699.36,68620.44,0.34,valid,
2024s.csv,2024-12-31,2876,2024-12-31,Government,"PAGBILAO # 3,658,000",1,764600,764600,0,764600,2459741.63,2459741.63,1695141.63,-0.0222,valid,
2024s.csv,2024-12-31,2870,2024-12-31,Government,"PAGBILAO # 411,290",1,104995,104995,0,104995,213312,213312,108317,-1.03,warning,margin percentage is outside the expected range
2024s.csv,2024-12-31,2853,2024-12-31,Government,"PAGBILAO # 443,131.29",1,44132,44132,0,44132,263305.35,263305.35,219173.35,-0.0497,valid,
2024s.csv,2024-12-31,2924,2024-12-31,Government,"PAGBILAO # 47,375",1,46896.25,46896.25,0,46896.25,15725,15725,31171.25,0.66,valid,
2024s.csv,2024-12-31,2875,2024-12-31,Government,"PAGBILAO # 474,160",1,469000,469000,0,469000,415000,415000,54000,0.12,valid,
2024s.csv,2024-12-31,2874,2024-12-31,Government,"PAGBILAO # 6,334,470",1,6333000,6333000,0,6333000,3150000,3150000,3183000,0.5,valid,
2024s.csv,2024-12-31,2926,2024-12-31,Government,"PAGBILAO # 6,475",1,6400,6400,0,6400,4455,4455,1945,0.3,valid,
