MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product, Qty , ContractPrice , TOTAL CP , Discount , TotalCP , TransferPrice , Total TP , Net Income ,
13566/ SI 2160,01-Feb-19,Quezon,PHYTOMEN 10mg/ml, 30.00 , 780.00 ," 23,400.00 ", -   ," 23,400.00 ", 190.00 ," 5,700.00 "," 17,700.00 ",
13567,04-Feb-19,Admin,MONILIASOL 500mg, 0.39 , 680.00 , 265.20 , 79.56 , 185.64 , 240.00 , 93.60 , 92.04 ,
13568,04-Feb-19,Admin,AEROVENT 1mg/ml, 3.00 , 390.00 ," 1,170.00 ", -   ," 1,170.00 ", 122.50 , 367.50 , 802.50 ,
13568,04-Feb-19,Admin,Face Mask Earloop, 2.00 , 75.00 , 150.00 , -   , 150.00 , 45.00 , 90.00 , 60.00 ,
13568,04-Feb-19,Admin,CENDALEX 125mg/5ml, 3.00 , 52.50 , 157.50 , -   , 157.50 , 35.00 , 105.00 , 52.50 ,
13568,04-Feb-19,Admin,"MICROPORE 1"" - 3M", 1.00 , 540.00 , 540.00 , -   , 540.00 , 380.00 , 380.00 , 160.00 ,
13568,04-Feb-19,Admin,GLOVES (S) - Dr. Choice, 2.00 , 195.00 , 390.00 , -   , 390.00 , 130.00 , 260.00 , 130.00 ,
13568,04-Feb-19,Admin,JAGA 300MG/100MG/100MCG, 1.00 , 795.00 , 795.00 , -   , 795.00 , 530.00 , 530.00 , 265.00 ,
13568,04-Feb-19,Admin,INTRAPLEM 500mg, 1.00 , 420.00 , 420.00 , -   , 420.00 , 280.00 , 280.00 , 140.00 ,
13569,04-Feb-19,Admin,PHILSTAT 20mg, 1.00 , 144.00 , 144.00 , -   , 144.00 , 96.00 , 96.00 , 48.00 ,
13569,04-Feb-19,Admin,Microscot 20mg/g, 6.00 , 123.00 , 738.00 , -   , 738.00 , 79.00 , 474.00 , 264.00 ,
13569,04-Feb-19,Admin,ELAVIL 300mg, 1.00 , 33.50 , 33.50 , -   , 33.50 ,,, 33.50 ,
13569,04-Feb-19,Admin,EXEL 100mg, 10.00 , 21.23 , 212.30 , -   , 212.30 , 13.75 , 137.50 , 74.80 ,
13569,04-Feb-19,Admin,EXEL 250mg/5ml sus, 10.00 , 38.25 , 382.50 , -   , 382.50 , 25.50 , 255.00 , 127.50 ,
13571,06-Feb-19,Admin,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 440.00 ," 3,080.00 "," 2,920.00 ",
13571,06-Feb-19,Admin,XYNETIN 1500mg/200iu, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 310.00 ," 2,170.00 "," 2,580.00 ",
13571,06-Feb-19,Admin,Hyclens 0.2% Wound Spray 60ml, 20.00 , 229.32 ," 4,586.40 ", -   ," 4,586.40 ", 128.80 ," 2,575.92 "," 2,010.48 ",
13571,06-Feb-19,Admin,Isoprine 10mg, 7.00 , 671.43 ," 4,700.00 ", -   ," 4,700.00 ", 215.00 ," 1,505.00 "," 3,195.00 ",
13572,06-Feb-19,Admin,NITROFURANTOIN 100mg CAP, 0.36 ," 1,000.00 ", 360.00 , 108.00 , 252.00 , 190.00 , 68.40 , 183.60 ,
13574/ SI 2175,08-Feb-19,Hospital,APROCARE 150mg, 1.00 , 870.00 , 870.00 , -   , 870.00 , 219.00 , 219.00 , 651.00 ,
13574/ SI 2175,08-Feb-19,Hospital,DIFLOSID 75mg/3ml, 5.00 , 750.00 ," 3,750.00 ", -   ," 3,750.00 ", 142.25 , 711.25 ," 3,038.75 ",
13574/ SI 2175,08-Feb-19,Hospital,ATOVAS 20mg, 1.00 , 750.00 , 750.00 , -   , 750.00 , 174.50 , 174.50 , 575.50 ,
13574/ SI 2175,08-Feb-19,Hospital,CEFZIME 750mg, 5.00 ," 3,000.00 "," 15,000.00 ", -   ," 15,000.00 ", 765.00 ," 3,825.00 "," 11,175.00 ",
13574/ SI 2175,08-Feb-19,Hospital,CEPROTRON 500mg, 2.00 ," 1,750.00 "," 3,500.00 ", -   ," 3,500.00 ", 500.00 ," 1,000.00 "," 2,500.00 ",
13574/ SI 2175,08-Feb-19,Hospital,Ranirex 25mg/ml, 3.00 , 800.00 ," 2,400.00 ", -   ," 2,400.00 ", 40.00 , 120.00 ," 2,280.00 ",
13574/ SI 2175,08-Feb-19,Hospital,BUPIRIGHT 5mg/ml, 4.00 ," 3,100.00 "," 12,400.00 ", -   ," 12,400.00 ",,," 12,400.00 ",
